   230  3.393743046271989E+04  44.974546  5.438201  4.650149  0.7200000E+00  0.2659559E+00  4.4148152E-05  2.5481432E-03  3.0923260E-05  7.3521583E-04  6.3821817E-03  2.5285551E-06  1.4396930E-05  2.0947283E-03  1.6942776E-04  0.6526    4.650149 -0.6131816E+01  0.480411  7.616736  0.7169967E+00  0.2686808E+00  4.3830979E-07  6.2279153E-05  1.4517940E-05  4.3274612E-03  5.6201719E-03  1.0403614E-05  1.2212355E-07  2.0937711E-03  9.0923174E-05  1.188E-09  8.867E-16  1.373E+12  9.367E+13  3.268E+02  1.012E+08  0.56485686  5.272E-05  5.290E-05  9.473E-01  0.000E+00  3.626E-06  1.060E+00  251   29.3474  1.00E-02 3.5116E+01 5.1424E+01    8.23E+02 0.00E+00 3.28E+02  0.565727  0.161239 8.23E+02 0.00E+00 3.27E+02  0.564857  0.161247  0.0000000E+00  0.0000000E+00  2.7249594E-05  2.4392372E+00  1.2887082E+00  3.4024826E-03 -1.1751865E+00  4.4344096E-01  3.0489939E-01 0.000 0.655 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000  1.4421676958E+00   0.99583   1.00000   0.00000   0.00000   0.1598153E-01
   240  3.581608112460787E+04  44.973158  5.439399  4.650129  0.7200000E+00  0.2659559E+00  4.4148174E-05  2.5481432E-03  3.0923260E-05  7.3521583E-04  6.3821817E-03  2.5285551E-06  1.4396930E-05  2.0947283E-03  1.6942776E-04  0.6424    4.650129 -0.6129550E+01  0.479915  7.616527  0.7168521E+00  0.2688271E+00  2.9933250E-07  4.7640903E-05  1.2313734E-05  4.3772481E-03  5.5853034E-03  1.0678588E-05  5.1470778E-08  2.0937252E-03  8.8284216E-05  8.107E-10  6.022E-16  9.545E+11  6.352E+13  2.272E+02  6.860E+07  0.56119593  5.222E-05  5.304E-05  9.481E-01  0.000E+00  3.795E-06  1.059E+00  255   28.9269  1.00E-02 3.5237E+01 5.1601E+01    8.22E+02 0.00E+00 3.24E+02  0.561129  0.161703 8.22E+02 0.00E+00 3.24E+02  0.561196  0.161697  0.0000000E+00  0.0000000E+00  3.8007189E-05  2.4424766E+00  1.2894406E+00  3.4021169E-03 -1.1744340E+00  4.4313640E-01  3.0472910E-01 0.000 0.646 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000  1.4417988025E+00   0.99563   1.00000   0.00000   0.00000   0.1593120E-01
   273  4.929988628347031E+04  44.963125  5.440479  4.651065  0.7200000E+00  0.2659559E+00  4.4148264E-05  2.5481432E-03  3.0923260E-05  7.3521583E-04  6.3821817E-03  2.5285551E-06  1.4396930E-05  2.0947283E-03  1.6942776E-04  0.6437    4.651065 -0.6128516E+01  0.482943  7.617603  0.7155848E+00  0.2701294E+00  1.1038290E-07  4.2003135E-05  1.1171641E-05  4.6429742E-03  5.2900507E-03  1.1220998E-05  2.7219005E-08  2.0933243E-03  6.8193072E-05  2.274E-10  1.722E-16  3.942E+11  2.446E+13  9.382E+01  2.641E+07  0.54808551  5.109E-05  5.381E-05  9.508E-01  0.000E+00  5.250E-06  1.056E+00  254   28.9269  1.00E-02 3.5587E+01 5.2116E+01    8.22E+02 0.00E+00 3.16E+02  0.548482  0.162130 8.22E+02 0.00E+00 3.16E+02  0.548086  0.162136  0.0000000E+00  0.0000000E+00  1.4222978E-04  2.4310667E+00  1.2907970E+00  3.4258210E-03 -1.1765842E+00  4.4377121E-01  3.0563569E-01 0.000 0.646 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000  1.4391878408E+00   0.99387   1.00000   0.00000   0.00000   0.1599827E-01
   293  6.855660545992194E+04  44.948779  5.441173  4.650418  0.7200000E+00  0.2659559E+00  4.4148418E-05  2.5481432E-03  3.0923260E-05  7.3521583E-04  6.3821817E-03  2.5285551E-06  1.4396930E-05  2.0947283E-03  1.6942776E-04  0.6431    4.650418 -0.6127185E+01  0.479558  7.616588  0.7135893E+00  0.2721741E+00  7.5063413E-08  4.2128316E-05  1.1425683E-05  4.9937207E-03  4.8887844E-03  1.1157532E-05  1.8096505E-08  2.0927432E-03  4.6927072E-05  2.455E-10  1.779E-16  2.813E+11  1.613E+13  6.695E+01  1.742E+07  0.54390898  5.036E-05  5.354E-05  9.516E-01  0.000E+00  7.273E-06  1.055E+00  253   28.9269  9.95E-03 3.5590E+01 5.2122E+01    8.20E+02 0.00E+00 3.13E+02  0.543912  0.162437 8.20E+02 0.00E+00 3.13E+02  0.543909  0.162447  0.0000000E+00  0.0000000E+00  2.7740324E-04  2.4443066E+00  1.2882699E+00  3.3943743E-03 -1.1725833E+00  4.4199581E-01  3.0515927E-01 0.000 0.646 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000  1.4355155564E+00   0.99109   1.00000   0.00000   0.00000   0.1594028E-01
   306  8.748643588492151E+04  44.934621  5.441960  4.649536  0.7200000E+00  0.2659559E+00  4.4148631E-05  2.5481432E-03  3.0923263E-05  7.3521583E-04  6.3821817E-03  2.5285551E-06  1.4396930E-05  2.0947283E-03  1.6942776E-04  0.6426    4.649536 -0.6125195E+01  0.475648  7.615392  0.7116377E+00  0.2741673E+00  8.4679111E-08  4.4430827E-05  1.2067796E-05  5.2837739E-03  4.5539163E-03  1.0638382E-05  1.7996030E-08  2.0922211E-03  3.3690881E-05  2.310E-10  1.636E-16  3.027E+11  1.752E+13  7.204E+01  1.892E+07  0.54214498  4.980E-05  5.309E-05  9.519E-01  0.000E+00  8.992E-06  1.055E+00  253   28.8200  9.90E-03 3.5508E+01 5.2003E+01    8.18E+02 0.00E+00 3.11E+02  0.542847  0.162798 8.18E+02 0.00E+00 3.11E+02  0.542145  0.162793  0.0000000E+00  0.0000000E+00  2.7864338E-04  2.4598301E+00  1.2851353E+00  3.3566469E-03 -1.1681023E+00  4.4004204E-01  3.0454359E-01 0.000 0.644 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000  1.4319013774E+00   0.98839   1.00000   0.00000   0.00000   0.1583057E-01
   319  1.064162663099211E+05  44.920400  5.442781  4.648790  0.7200000E+00  0.2659559E+00  4.4148886E-05  2.5481432E-03  3.0923274E-05  7.3521583E-04  6.3821817E-03  2.5285551E-06  1.4396930E-05  2.0947283E-03  1.6942776E-04  0.6417    4.648790 -0.6123331E+01  0.472339  7.614396  0.7097005E+00  0.2761414E+00  9.0065065E-08  4.6802444E-05  1.2630652E-05  5.5388987E-03  4.2590873E-03  9.9951803E-06  1.9379270E-08  2.0917328E-03  2.4649579E-05  2.506E-10  1.736E-16  3.131E+11  1.807E+13  7.451E+01  1.952E+07  0.54163863  4.941E-05  5.268E-05  9.520E-01  1.471E-19  1.052E-05  1.054E+00  254   28.8200  9.87E-03 3.5413E+01 5.1865E+01    8.16E+02 0.00E+00 3.10E+02  0.541584  0.163144 8.16E+02 0.00E+00 3.10E+02  0.541639  0.163152  0.0000000E+00  0.0000000E+00  2.7968866E-04  2.4731255E+00  1.2816044E+00  3.3203294E-03 -1.1641792E+00  4.3830213E-01  3.0406935E-01 0.000 0.644 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000  1.4282717354E+00   0.98569   1.00000   0.00000   0.00000   0.1572642E-01
   332  1.252004826547283E+05  44.906223  5.443580  4.648115  0.7200000E+00  0.2659559E+00  4.4149181E-05  2.5481432E-03  3.0923305E-05  7.3521583E-04  6.3821817E-03  2.5285551E-06  1.4396930E-05  2.0947283E-03  1.6942776E-04  0.6410    4.648115 -0.6121303E+01  0.469625  7.613596  0.7078081E+00  0.2780661E+00  8.9597015E-08  4.8609998E-05  1.3138880E-05  5.7622488E-03  4.0013493E-03  9.3987256E-06  1.8501695E-08  2.0912793E-03  1.8520016E-05  2.364E-10  1.583E-16  3.070E+11  1.756E+13  7.307E+01  1.896E+07  0.54062166  4.901E-05  5.231E-05  9.522E-01  1.506E-17  1.186E-05  1.054E+00  256   28.8200  9.83E-03 3.5316E+01 5.1725E+01    8.15E+02 0.00E+00 3.09E+02  0.541314  0.163506 8.14E+02 0.00E+00 3.08E+02  0.540622  0.163505  0.0000000E+00  0.0000000E+00  2.5318572E-04  2.4841820E+00  1.2782958E+00  3.2885079E-03 -1.1608100E+00  4.3677408E-01  3.0372277E-01 0.000 0.644 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000  1.4246523603E+00   0.98307   1.00000   0.00000   0.00000   0.1561671E-01
   347  1.448583834806895E+05  44.891318  5.444485  4.647544  0.7200000E+00  0.2659559E+00  4.4149536E-05  2.5481431E-03  3.0923393E-05  7.3521584E-04  6.3821817E-03  2.5285551E-06  1.4396930E-05  2.0947283E-03  1.6942776E-04  0.6404    4.647544 -0.6119232E+01  0.467345  7.612941  0.7058271E+00  0.2800778E+00  7.8299127E-08  4.9924952E-05  1.3563963E-05  5.9752597E-03  3.7562061E-03  8.7849139E-06  1.5309646E-08  2.0908233E-03  1.3879872E-05  2.251E-10  1.488E-16  2.711E+11  1.507E+13  6.453E+01  1.627E+07  0.54045155  4.871E-05  5.197E-05  9.523E-01  4.761E-16  1.314E-05  1.054E+00  258   28.7124  9.80E-03 3.5211E+01 5.1574E+01    8.13E+02 0.00E+00 3.07E+02  0.540301  0.163892 8.13E+02 0.00E+00 3.08E+02  0.540452  0.163900  0.0000000E+00  0.0000000E+00  2.5429914E-04  2.4937357E+00  1.2745575E+00  3.2568536E-03 -1.1577754E+00  4.3536247E-01  3.0348653E-01 0.000 0.642 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000  1.4208451543E+00   0.98031   1.00000   0.00000   0.00000   0.1551204E-01
   362  1.645162843066506E+05  44.876341  5.445329  4.646957  0.7200000E+00  0.2659559E+00  4.4149935E-05  2.5481429E-03  3.0923607E-05  7.3521585E-04  6.3821817E-03  2.5285551E-06  1.4396930E-05  2.0947283E-03  1.6942776E-04  0.6397    4.646957 -0.6117124E+01  0.465148  7.612316  0.7038569E+00  0.2820757E+00  8.2839039E-08  5.1676287E-05  1.4012665E-05  6.1662042E-03  3.5355579E-03  8.2878924E-06  1.6015683E-08  2.0903869E-03  1.0641923E-05  2.372E-10  1.530E-16  2.817E+11  1.567E+13  6.703E+01  1.692E+07  0.53941665  4.833E-05  5.165E-05  9.525E-01  6.601E-15  1.429E-05  1.054E+00  260   28.7124  9.78E-03 3.5113E+01 5.1431E+01    8.11E+02 0.00E+00 3.07E+02  0.540076  0.164274 8.11E+02 0.00E+00 3.06E+02  0.539417  0.164274  0.0000000E+00  0.0000000E+00  2.5580662E-04  2.5029179E+00  1.2711083E+00  3.2274344E-03 -1.1548332E+00  4.3398556E-01  3.0326808E-01 0.000 0.642 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000  1.4170187697E+00   0.97758   1.00000   0.00000   0.00000   0.1540160E-01
   377  1.841741851326117E+05  44.861293  5.446207  4.646478  0.7200000E+00  0.2659559E+00  4.4150343E-05  2.5481425E-03  3.0924054E-05  7.3521593E-04  6.3821817E-03  2.5285553E-06  1.4396929E-05  2.0947283E-03  1.6942776E-04  0.6390    4.646478 -0.6115117E+01  0.463331  7.611818  0.7019053E+00  0.2840522E+00  8.3297907E-08  5.3078855E-05  1.4388835E-05  6.3383730E-03  3.3368785E-03  7.8381846E-06  1.5706076E-08  2.0899691E-03  8.3927449E-06  2.377E-10  1.518E-16  2.808E+11  1.555E+13  6.684E+01  1.680E+07  0.53952965  4.810E-05  5.133E-05  9.525E-01  4.958E-14  1.533E-05  1.054E+00  262   28.7124  9.75E-03 3.5001E+01 5.1269E+01    8.10E+02 0.00E+00 3.05E+02  0.539145  0.164652 8.10E+02 0.00E+00 3.06E+02  0.539530  0.164661  0.0000000E+00  0.0000000E+00  2.5687836E-04  2.5106227E+00  1.2673050E+00  3.1983422E-03 -1.1522383E+00  4.3274247E-01  3.0313946E-01 0.000 0.642 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000  1.4131727722E+00   0.97487   1.00000   0.00000   0.00000   0.1530288E-01
