line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

  1  0.220226338005581E+05   84.904743  5.977391  4.709073  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.7826  4.709073   -5.373  0.331776  7.650183  0.7169948E+00  0.2687324E+00  4.0605452E-05  1.1162108E-05  4.0219552E-03  4.8948926E-03  7.4917050E-06  1.3863438E-08  1.8756935E-03  9.3527477E-05  3.979E-06  2.247E-05  1.997E-05  9.859E-01  1.019E+00  9.37E+02  0.00E+00  1.93E+02  0.304085  0.295607  0.0000000E+00  2.0573935434E+00
  2  0.781534994134260E+05   84.665163  5.979085  4.705054  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.7786  4.705054   -5.365  0.311894  7.643732  0.7086063E+00  0.2773090E+00  5.1334275E-05  1.4016173E-05  5.3344521E-03  3.3786470E-03  5.7776179E-06  1.2406481E-08  1.8729505E-03  2.9560803E-05  1.217E-05  1.772E-05  1.937E-05  9.902E-01  1.014E+00  9.25E+02  0.00E+00  1.58E+02  0.254258  0.297602  0.0000000E+00  2.0131795116E+00
  3  0.134902582015763E+06   84.417395  5.981015  4.702300  0.7200000E+00  0.2659559E+00  2.2831524E-03  2.7707439E-05  6.5875810E-04  5.7184752E-03  2.2656014E-06  1.2899740E-05  1.8768898E-03  1.5180834E-04  8.062E-14  0.7750  4.702300   -5.355  0.303210  7.640973  0.7002222E+00  0.2858029E+00  5.7705640E-05  1.5759460E-05  6.0941189E-03  2.5010886E-03  4.4037156E-06  9.9977132E-09  1.8707892E-03  1.2099718E-05  1.741E-05  1.700E-05  1.874E-05  9.906E-01  1.013E+00  9.16E+02  0.00E+00  1.54E+02  0.250123  0.299805  0.0000000E+00  1.9686958036E+00
  4  0.191877586344698E+06   84.163419  5.983095  4.700123  0.7199999E+00  0.2659559E+00  2.2830970E-03  2.7707462E-05  6.5884211E-04  5.7184532E-03  2.2657329E-06  1.2899421E-05  1.8768898E-03  1.5180682E-04  9.122E-11  0.7719  4.700123   -5.347  0.298149  7.639415  0.6918542E+00  0.2942437E+00  6.2781262E-05  1.7192015E-05  6.5946299E-03  1.9215622E-03  3.3108516E-06  7.3452278E-09  1.8688784E-03  6.4167199E-06  2.107E-05  1.650E-05  1.822E-05  9.908E-01  1.013E+00  9.09E+02  0.00E+00  1.51E+02  0.247441  0.302154  0.0000000E+00  1.9234779191E+00
  5  0.249343315561243E+06   83.902098  5.985348  4.698562  0.7199977E+00  0.2659580E+00  2.2817615E-03  2.7704206E-05  6.6091147E-04  5.7178791E-03  2.2689025E-06  1.2891724E-05  1.8768889E-03  1.5176784E-04  2.362E-09  0.7691  4.698562   -5.338  0.295990  7.638819  0.6834332E+00  0.3027161E+00  6.4889381E-05  1.7750878E-05  6.9512964E-03  1.5110049E-03  2.7047602E-06  6.6505035E-09  1.8670920E-03  4.3423560E-06  2.373E-05  1.563E-05  1.779E-05  9.915E-01  1.013E+00  9.03E+02  0.00E+00  1.45E+02  0.238140  0.304671  0.0000000E+00  1.8773603547E+00
  6  0.306205867899733E+06   83.638448  5.987597  4.696924  0.7199858E+00  0.2659694E+00  2.2756998E-03  2.7682739E-05  6.7064322E-04  5.7148931E-03  2.2829651E-06  1.2856798E-05  1.8768844E-03  1.5157430E-04  1.369E-08  0.7669  4.696924   -5.329  0.294170  7.638331  0.6750947E+00  0.3110920E+00  6.8243086E-05  1.8705074E-05  7.2064573E-03  1.2143041E-03  2.1062781E-06  4.8603708E-09  1.8654069E-03  3.5344610E-06  2.564E-05  1.537E-05  1.736E-05  9.915E-01  1.013E+00  8.97E+02  0.00E+00  1.43E+02  0.237469  0.307216  0.0000000E+00  1.8313451161E+00
  7  0.363605187009831E+06   83.367081  5.989952  4.695619  0.7199448E+00  0.2660093E+00  2.2602398E-03  2.7617218E-05  6.9700082E-04  5.7055354E-03  2.3167687E-06  1.2767707E-05  1.8768695E-03  1.5101273E-04  4.822E-08  0.7648  4.695619   -5.321  0.293729  7.638303  0.6666900E+00  0.3195245E+00  6.9467840E-05  1.9039074E-05  7.4002350E-03  9.9113831E-04  1.7402366E-06  4.4728078E-09  1.8637654E-03  3.2056130E-06  2.701E-05  1.496E-05  1.696E-05  9.916E-01  1.012E+00  8.92E+02  0.00E+00  1.42E+02  0.236693  0.309884  0.0000000E+00  1.7844550087E+00
  8  0.420598491007204E+06   83.092315  5.992374  4.694341  0.7198404E+00  0.2661122E+00  2.2326157E-03  2.7488969E-05  7.4795968E-04  5.6844188E-03  2.3711730E-06  1.2608411E-05  1.8768338E-03  1.4985899E-04  1.247E-07  0.7631  4.694341   -5.313  0.293604  7.638373  0.6583302E+00  0.3279053E+00  7.1032766E-05  1.9483396E-05  7.5460295E-03  8.2216951E-04  1.4315856E-06  3.5950156E-09  1.8621716E-03  3.0512493E-06  2.796E-05  1.437E-05  1.658E-05  9.921E-01  1.012E+00  8.86E+02  0.00E+00  1.37E+02  0.229198  0.312629  0.0000000E+00  1.7374533130E+00
