line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

  1  0.585657580192384E+05   24.995463  4.862267  4.584575  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.5164  4.584575   -7.118  0.676810  7.590385  0.7169862E+00  0.2687230E+00  3.4174241E-05  9.1128647E-06  3.9277047E-03  5.0089411E-03  1.2511388E-05  3.1419639E-08  1.8761190E-03  5.6998338E-05  3.062E-06  3.555E-05  3.323E-05  9.854E-01  1.017E+00  7.25E+02  0.00E+00  1.52E+02  0.308897  0.077030  0.0000000E+00  2.4862010722E-01
  2  0.206824462103501E+06   24.984086  4.867401  4.581814  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.5126  4.581814   -7.112  0.660659  7.585711  0.7086727E+00  0.2772044E+00  3.8856578E-05  1.0571554E-05  5.1078184E-03  3.6533802E-03  1.1237057E-05  2.0622226E-08  1.8743134E-03  7.7361463E-06  9.042E-06  2.993E-05  3.348E-05  9.891E-01  1.013E+00  7.18E+02  0.00E+00  1.30E+02  0.268839  0.077982  0.0000000E+00  2.4774182966E-01
  3  0.347484527371074E+06   24.973113  4.872255  4.579960  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.5104  4.579960   -7.104  0.652166  7.583568  0.7003921E+00  0.2855898E+00  4.2918517E-05  1.1726751E-05  5.8330279E-03  2.8200460E-03  8.7676413E-06  1.1373588E-08  1.8728448E-03  1.8350978E-06  1.256E-05  2.817E-05  3.329E-05  9.899E-01  1.012E+00  7.12E+02  0.00E+00  1.24E+02  0.258977  0.078893  0.0000000E+00  2.4694285477E-01
  4  0.482934960591700E+06   24.962350  4.876916  4.578499  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.5077  4.578499   -7.096  0.646526  7.582362  0.6920014E+00  0.2940555E+00  4.6332011E-05  1.2654219E-05  6.3502467E-03  2.2249460E-03  6.9537827E-06  7.7762137E-09  1.8715071E-03  4.6324365E-07  1.487E-05  2.726E-05  3.296E-05  9.902E-01  1.011E+00  7.08E+02  0.00E+00  1.22E+02  0.255201  0.079779  0.0000000E+00  2.4617365662E-01
  5  0.615780577788854E+06   24.951583  4.881602  4.577348  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.5049  4.577348   -7.087  0.642633  7.581739  0.6838006E+00  0.3023097E+00  4.8969773E-05  1.3374461E-05  6.7181522E-03  1.8013116E-03  5.6371458E-06  6.5214911E-09  1.8702927E-03  3.3292423E-07  1.625E-05  2.673E-05  3.262E-05  9.902E-01  1.011E+00  7.04E+02  0.00E+00  1.21E+02  0.254999  0.080679  0.0000000E+00  2.4540793823E-01
  6  0.753835827032956E+06   24.940149  4.886713  4.576385  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.5028  4.576385   -7.077  0.639786  7.581645  0.6753921E+00  0.3107590E+00  5.1022456E-05  1.3935122E-05  6.9985624E-03  1.4783658E-03  4.6221322E-06  5.5704142E-09  1.8691111E-03  3.9841760E-07  1.705E-05  2.617E-05  3.230E-05  9.903E-01  1.011E+00  7.00E+02  0.00E+00  1.19E+02  0.253125  0.081671  0.0000000E+00  2.4459401110E-01
  7  0.889077874971705E+06   24.928686  4.891719  4.575565  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707439E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  2.223E-18  0.5004  4.575565   -7.067  0.637772  7.581738  0.6672006E+00  0.3189806E+00  5.2604333E-05  1.4369060E-05  7.2059556E-03  1.2394154E-03  3.8590753E-06  5.0671999E-09  1.8680014E-03  4.9061722E-07  1.740E-05  2.589E-05  3.199E-05  9.902E-01  1.011E+00  6.96E+02  0.00E+00  1.19E+02  0.254559  0.082656  0.0000000E+00  2.4377477820E-01
  8  0.102472106457807E+07   24.916912  4.896961  4.574848  0.7200000E+00  0.2659559E+00  2.2831524E-03  2.7707455E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  9.219E-17  0.4984  4.574848   -7.056  0.636234  7.582235  0.6588038E+00  0.3274020E+00  5.4059842E-05  1.4765086E-05  7.3750642E-03  1.0443261E-03  3.2127464E-06  3.9093481E-09  1.8668889E-03  4.3637393E-07  1.752E-05  2.557E-05  3.172E-05  9.902E-01  1.011E+00  6.93E+02  0.00E+00  1.19E+02  0.255047  0.083700  0.0000000E+00  2.4292855986E-01
