line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

  1  0.367489722954048E+05   39.981344  5.338243  4.644451  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.6368  4.644451   -6.302  0.520060  7.613925  0.7169975E+00  0.2687227E+00  6.0017010E-05  1.2577740E-05  3.9359772E-03  4.9633408E-03  9.6813686E-06  1.4596977E-07  1.8759474E-03  7.4058169E-05  3.589E-06  2.991E-05  2.767E-05  9.854E-01  1.018E+00  8.01E+02  0.00E+00  1.68E+02  0.309524  0.144093  0.0000000E+00  5.8324817743E-01
  2  0.129600780463593E+06   39.934262  5.343739  4.642597  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.6245  4.642597   -6.291  0.509651  7.610897  0.7085904E+00  0.2773024E+00  4.2475200E-05  1.1618482E-05  5.2057540E-03  3.5378570E-03  8.5733775E-06  1.1802269E-08  1.8737502E-03  1.4466626E-05  1.083E-05  2.432E-05  2.779E-05  9.898E-01  1.013E+00  7.93E+02  0.00E+00  1.39E+02  0.259359  0.146100  0.0000000E+00  5.7817401152E-01
  3  0.218700516251140E+06   39.888231  5.347414  4.640312  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.6215  4.640312   -6.283  0.500756  7.608420  0.7001882E+00  0.2858127E+00  4.8525346E-05  1.3226506E-05  5.9512657E-03  2.6776796E-03  6.5565362E-06  1.1030720E-08  1.8719753E-03  3.9950602E-06  1.532E-05  2.327E-05  2.726E-05  9.902E-01  1.012E+00  7.87E+02  0.00E+00  1.35E+02  0.254062  0.147511  0.0000000E+00  5.7347181875E-01
  4  0.309285247635146E+06   39.840466  5.351424  4.638662  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.6188  4.638662   -6.273  0.495651  7.607198  0.6918278E+00  0.2942459E+00  5.2414962E-05  1.4297101E-05  6.4524227E-03  2.0997230E-03  5.1643713E-06  9.2143546E-09  1.8704040E-03  1.9489865E-06  1.826E-05  2.287E-05  2.679E-05  9.901E-01  1.012E+00  7.81E+02  0.00E+00  1.35E+02  0.255778  0.149058  0.0000000E+00  5.6861854972E-01
  5  0.399721479459507E+06   39.791753  5.355450  4.637328  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707441E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  1.145E-17  0.6162  4.637328   -6.264  0.492350  7.606580  0.6834678E+00  0.3026585E+00  5.5324076E-05  1.5098347E-05  6.8136282E-03  1.6830115E-03  4.1350109E-06  7.7949730E-09  1.8689407E-03  1.4320250E-06  2.026E-05  2.225E-05  2.640E-05  9.904E-01  1.012E+00  7.77E+02  0.00E+00  1.32E+02  0.251725  0.150631  0.0000000E+00  5.6366734280E-01
  6  0.491064301095506E+06   39.741460  5.359681  4.636174  0.7200000E+00  0.2659559E+00  2.2831524E-03  2.7707488E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  1.277E-15  0.6139  4.636174   -6.254  0.490226  7.606351  0.6750053E+00  0.3111604E+00  5.7368237E-05  1.5669838E-05  7.0857694E-03  1.3692888E-03  3.3576079E-06  6.2764937E-09  1.8675296E-03  1.2877285E-06  2.160E-05  2.184E-05  2.604E-05  9.905E-01  1.012E+00  7.72E+02  0.00E+00  1.31E+02  0.251182  0.152298  0.0000000E+00  5.5854545714E-01
  7  0.581039860555925E+06   39.690803  5.363845  4.635108  0.7200000E+00  0.2659559E+00  2.2831521E-03  2.7707767E-05  6.5875810E-04  5.7184752E-03  2.2656015E-06  1.2899740E-05  1.8768898E-03  1.5180834E-04  3.920E-14  0.6115  4.635108   -6.245  0.488770  7.606343  0.6666451E+00  0.3195501E+00  5.9080281E-05  1.6138466E-05  7.2894837E-03  1.1341520E-03  2.7781646E-06  5.7495807E-09  1.8661825E-03  1.2520424E-06  2.243E-05  2.161E-05  2.571E-05  9.903E-01  1.011E+00  7.68E+02  0.00E+00  1.31E+02  0.253588  0.153961  0.0000000E+00  5.5337974075E-01
  8  0.669928348755247E+06   39.639627  5.368046  4.634134  0.7200000E+00  0.2659559E+00  2.2831507E-03  2.7708862E-05  6.5875884E-04  5.7184750E-03  2.2656031E-06  1.2899736E-05  1.8768898E-03  1.5180832E-04  4.925E-13  0.6093  4.634134   -6.235  0.487840  7.606504  0.6583615E+00  0.3278563E+00  6.0411837E-05  1.6504535E-05  7.4452947E-03  9.5427404E-04  2.3288158E-06  5.1998881E-09  1.8648796E-03  1.2582956E-06  2.290E-05  2.105E-05  2.540E-05  9.906E-01  1.012E+00  7.64E+02  0.00E+00  1.28E+02  0.249634  0.155658  0.0000000E+00  5.4815275151E-01
