line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

  9  0.414252605299193E+06  115.931531  6.241191  4.708625  0.7140344E+00  0.2719281E+00  1.5386419E-03  2.4894486E-05  2.3569518E-03  4.7779843E-03  3.0250204E-06  8.5774974E-06  1.8749379E-03  1.1252396E-04  3.900E-06  0.8219  4.708625   -4.974  0.217502  7.650928  0.6502035E+00  0.3360543E+00  7.7579982E-05  2.1302501E-05  7.6876104E-03  6.4979382E-04  9.9990432E-07  2.5056032E-09  1.8593859E-03  3.8382219E-06  2.989E-05  1.155E-05  1.296E-05  9.929E-01  1.011E+00  9.37E+02  0.00E+00  1.37E+02  0.217791  0.396038  0.0000000E+00  2.7149246509E+00
 10  0.464967491476978E+06  115.388791  6.243410  4.708096  0.7105032E+00  0.2754786E+00  1.3529813E-03  2.4146992E-05  2.9056122E-03  4.4006510E-03  2.9969776E-06  7.4955284E-06  1.8739461E-03  1.0003635E-04  5.485E-06  0.8226  4.708096   -4.967  0.218616  7.651256  0.6418363E+00  0.3444331E+00  7.8105856E-05  2.1461971E-05  7.7699728E-03  5.5490070E-04  8.5619921E-07  2.2556287E-09  1.8577276E-03  3.7795645E-06  3.031E-05  1.093E-05  1.254E-05  9.935E-01  1.011E+00  9.33E+02  0.00E+00  1.30E+02  0.207697  0.399114  0.0000000E+00  2.6031261408E+00
 11  0.516887626838583E+06  114.823109  6.245999  4.707812  0.7059873E+00  0.2800189E+00  1.1799965E-03  2.3535601E-05  3.4622938E-03  3.9970741E-03  2.8903530E-06  6.4849873E-06  1.8727481E-03  8.7810765E-05  7.177E-06  0.8252  4.707812   -4.959  0.219902  7.651637  0.6334852E+00  0.3527929E+00  7.9007948E-05  2.1717338E-05  7.8303754E-03  4.8445688E-04  7.4279843E-07  1.9586711E-09  1.8560899E-03  3.8087414E-06  3.045E-05  1.048E-05  1.212E-05  9.939E-01  1.010E+00  9.28E+02  0.00E+00  1.25E+02  0.201090  0.402413  0.0000000E+00  2.4903268021E+00
 12  0.567823147869895E+06  114.258497  6.248506  4.708025  0.7005651E+00  0.2854685E+00  1.0250611E-03  2.3073114E-05  3.9993059E-03  3.5916647E-03  2.7265692E-06  5.5776591E-06  1.8713793E-03  7.6473683E-05  8.878E-06  0.8273  4.708025   -4.952  0.222299  7.652390  0.6251180E+00  0.3611670E+00  7.7609507E-05  2.1304904E-05  7.8848135E-03  4.2466610E-04  6.8441723E-07  2.1876049E-09  1.8544539E-03  3.7236300E-06  3.046E-05  9.846E-06  1.173E-05  9.945E-01  1.009E+00  9.25E+02  0.00E+00  1.18E+02  0.190868  0.405449  0.0000000E+00  2.3826716616E+00
 13  0.618702805534721E+06  113.684814  6.251242  4.708185  0.6941318E+00  0.2919309E+00  8.8439022E-04  2.2730580E-05  4.5179936E-03  3.1879760E-03  2.5224336E-06  4.7519440E-06  1.8698224E-03  6.5940868E-05  1.057E-05  0.8304  4.708185   -4.944  0.223686  7.652803  0.6167791E+00  0.3695117E+00  7.8555807E-05  2.1599425E-05  7.9255997E-03  3.7650982E-04  5.9678730E-07  1.5884306E-09  1.8528291E-03  3.6587897E-06  3.031E-05  9.490E-06  1.134E-05  9.949E-01  1.009E+00  9.21E+02  0.00E+00  1.14E+02  0.185347  0.408518  0.0000000E+00  2.2781689332E+00
 14  0.668008620128575E+06  113.119985  6.253596  4.708686  0.6867300E+00  0.2993624E+00  7.5829798E-04  2.2483964E-05  5.0078450E-03  2.7976137E-03  2.2954399E-06  4.0103321E-06  1.8680947E-03  5.6355355E-05  1.222E-05  0.8322  4.708686   -4.938  0.225386  7.653321  0.6084338E+00  0.3778623E+00  7.9116917E-05  2.1735724E-05  7.9623762E-03  3.3362713E-04  5.2781128E-07  1.5415225E-09  1.8512054E-03  3.5481209E-06  3.009E-05  9.131E-06  1.096E-05  9.952E-01  1.008E+00  9.19E+02  0.00E+00  1.10E+02  0.178536  0.410985  0.0000000E+00  2.1790160786E+00
 15  0.716428697240681E+06  112.557318  6.255878  4.709356  0.6783781E+00  0.3077436E+00  6.4542526E-04  2.2293613E-05  5.4656107E-03  2.4261475E-03  2.0592343E-06  3.3457075E-06  1.8662036E-03  4.7692972E-05  1.379E-05  0.8336  4.709356   -4.932  0.226991  7.653816  0.6001106E+00  0.3861897E+00  7.9751034E-05  2.1917791E-05  7.9929699E-03  2.9764976E-04  4.6696294E-07  1.2071823E-09  1.8495898E-03  3.4634239E-06  2.978E-05  8.791E-06  1.060E-05  9.956E-01  1.008E+00  9.17E+02  0.00E+00  1.06E+02  0.172202  0.413159  0.0000000E+00  2.0839421168E+00
 16  0.763340700202720E+06  112.005290  6.257764  4.710204  0.6695359E+00  0.3166127E+00  5.4883480E-04  2.2149951E-05  5.8715201E-03  2.0920621E-03  1.8329789E-06  2.7764728E-06  1.8642506E-03  4.0231474E-05  1.518E-05  0.8335  4.710204   -4.927  0.228877  7.654392  0.5917463E+00  0.3945576E+00  7.9484677E-05  2.1863837E-05  8.0212842E-03  2.6575499E-04  4.2043065E-07  9.8749611E-10  1.8479682E-03  3.3713518E-06  2.943E-05  8.517E-06  1.025E-05  9.957E-01  1.007E+00  9.15E+02  0.00E+00  1.04E+02  0.169830  0.414810  0.0000000E+00  1.9943489212E+00
 17  0.809567647809502E+06  111.455132  6.259634  4.710987  0.6603133E+00  0.3258600E+00  4.6588421E-04  2.2049380E-05  6.2307409E-03  1.7929937E-03  1.6201452E-06  2.2870814E-06  1.8622541E-03  3.3787865E-05  1.638E-05  0.8334  4.710987   -4.922  0.230468  7.654865  0.5833976E+00  0.4029095E+00  8.0483370E-05  2.2129772E-05  8.0427548E-03  2.3960197E-04  3.7361180E-07  8.5098080E-10  1.8463525E-03  3.3207574E-06  2.902E-05  8.105E-06  9.920E-06  9.962E-01  1.007E+00  9.13E+02  0.00E+00  9.72E+01  0.159076  0.416339  0.0000000E+00  1.9087664571E+00
 18  0.855144757959633E+06  110.906621  6.261425  4.711734  0.6510869E+00  0.3351082E+00  3.9636626E-04  2.1990056E-05  6.5397319E-03  1.5332627E-03  1.4275878E-06  1.8763682E-06  1.8602886E-03  2.8359494E-05  1.735E-05  0.8330  4.711734   -4.917  0.232425  7.655457  0.5750647E+00  0.4112448E+00  8.0508541E-05  2.2136029E-05  8.0614273E-03  2.1825047E-04  3.4141525E-07  7.7298039E-10  1.8447422E-03  3.2969362E-06  2.855E-05  7.892E-06  9.601E-06  9.963E-01  1.006E+00  9.12E+02  0.00E+00  9.56E+01  0.156720  0.417797  0.0000000E+00  1.8270567251E+00
 19  0.900879229366405E+06  110.349558  6.263327  4.712326  0.6420835E+00  0.3441303E+00  3.3888923E-04  2.1963840E-05  6.8012747E-03  1.3115632E-03  1.2574142E-06  1.5362775E-06  1.8583959E-03  2.3848715E-05  1.808E-05  0.8330  4.712326   -4.912  0.234339  7.656030  0.5666810E+00  0.4196304E+00  8.0594830E-05  2.2173341E-05  8.0762513E-03  2.0117264E-04  3.1436064E-07  7.4132337E-10  1.8431239E-03  3.2976787E-06  2.802E-05  7.529E-06  9.289E-06  9.966E-01  1.005E+00  9.10E+02  0.00E+00  9.15E+01  0.150427  0.419449  0.0000000E+00  1.7476949285E+00
 20  0.946691430337822E+06  109.783825  6.265469  4.712784  0.6334968E+00  0.3527328E+00  2.9251239E-04  2.1963833E-05  7.0172111E-03  1.1270575E-03  1.1112064E-06  1.2613938E-06  1.8566120E-03  2.0190694E-05  1.857E-05  0.8342  4.712784   -4.905  0.236171  7.656571  0.5583679E+00  0.4279450E+00  8.1514410E-05  2.2415965E-05  8.0863061E-03  1.8817980E-04  2.8980524E-07  6.8132625E-10  1.8415202E-03  3.3197365E-06  2.743E-05  7.251E-06  8.983E-06  9.969E-01  1.005E+00  9.07E+02  0.00E+00  8.77E+01  0.144509  0.421480  0.0000000E+00  1.6706564283E+00
 21  0.993099028119935E+06  109.202031  6.267818  4.713332  0.6250904E+00  0.3611527E+00  2.5476711E-04  2.1983339E-05  7.1973270E-03  9.7188208E-04  9.8431107E-07  1.0372365E-06  1.8548854E-03  1.7198700E-05  1.887E-05  0.8360  4.713332   -4.898  0.238448  7.657255  0.5499900E+00  0.4363239E+00  8.1240311E-05  2.2350079E-05  8.0958062E-03  1.7778210E-04  2.7536911E-07  6.6366096E-10  1.8399041E-03  3.3469339E-06  2.679E-05  6.889E-06  8.684E-06  9.971E-01  1.004E+00  9.04E+02  0.00E+00  8.37E+01  0.138407  0.423830  0.0000000E+00  1.5949796019E+00
 22  0.104015898904811E+07  108.601909  6.270525  4.713926  0.6164169E+00  0.3698380E+00  2.2328866E-04  2.2018117E-05  7.3517014E-03  8.3769712E-04  8.7100986E-07  8.4988483E-07  1.8531238E-03  1.4692498E-05  1.906E-05  0.8399  4.713926   -4.891  0.240500  7.657883  0.5416654E+00  0.4446493E+00  8.1826001E-05  2.2495509E-05  8.1019238E-03  1.6984398E-04  2.6098359E-07  7.5649542E-10  1.8382979E-03  3.3840775E-06  2.610E-05  6.473E-06  8.386E-06  9.975E-01  1.004E+00  9.02E+02  0.00E+00  7.75E+01  0.128638  0.426549  0.0000000E+00  1.5202987134E+00
 23  0.108718014304068E+07  107.991434  6.273339  4.714790  0.6071875E+00  0.3790778E+00  1.9683830E-04  2.2065361E-05  7.4852706E-03  7.2052671E-04  7.6892178E-07  6.9206029E-07  1.8512684E-03  1.2580279E-05  1.917E-05  0.8433  4.714790   -4.883  0.242830  7.658575  0.5333044E+00  0.4530110E+00  8.1907725E-05  2.2539104E-05  8.1080487E-03  1.6269245E-04  2.4914465E-07  5.5001257E-10  1.8366831E-03  3.4102243E-06  2.540E-05  6.154E-06  8.091E-06  9.978E-01  1.004E+00  8.99E+02  0.00E+00  7.38E+01  0.122771  0.429285  0.0000000E+00  1.4476981582E+00
 24  0.113268301602932E+07  107.391210  6.275744  4.715848  0.5972631E+00  0.3890113E+00  1.7464385E-04  2.2127452E-05  7.6007428E-03  6.1830832E-04  6.7715440E-07  5.5913558E-07  1.8492905E-03  1.0804904E-05  1.925E-05  0.8460  4.715848   -4.877  0.244850  7.659162  0.5249549E+00  0.4613612E+00  8.2727353E-05  2.2766563E-05  8.1130112E-03  1.5566167E-04  2.3491197E-07  5.1419518E-10  1.8350685E-03  3.4231831E-06  2.472E-05  6.039E-06  7.805E-06  9.978E-01  1.004E+00  8.98E+02  0.00E+00  7.31E+01  0.121903  0.431400  0.0000000E+00  1.3795705435E+00
 25  0.117670564572698E+07  106.802621  6.277824  4.717166  0.5865646E+00  0.3997179E+00  1.5573830E-04  2.2206843E-05  7.7019042E-03  5.2800936E-04  5.9389531E-07  4.4532647E-07  1.8471721E-03  9.2910782E-06  1.932E-05  0.8470  4.717166   -4.871  0.247135  7.659836  0.5166114E+00  0.4697054E+00  8.3101507E-05  2.2852398E-05  8.1182693E-03  1.4905818E-04  2.2408910E-07  4.6734045E-10  1.8334534E-03  3.4326843E-06  2.407E-05  5.709E-06  7.542E-06  9.981E-01  1.003E+00  8.97E+02  0.00E+00  6.79E+01  0.113413  0.432933  0.0000000E+00  1.3159583162E+00
 26  0.122024410463005E+07  106.213191  6.279900  4.718377  0.5755873E+00  0.4107022E+00  1.3992359E-04  2.2295856E-05  7.7886443E-03  4.5002965E-04  5.2040690E-07  3.4962958E-07  1.8450082E-03  8.0234836E-06  1.932E-05  0.8479  4.718377   -4.866  0.249365  7.660486  0.5082571E+00  0.4780601E+00  8.3396950E-05  2.2938725E-05  8.1227905E-03  1.4339986E-04  2.1446227E-07  4.3652511E-10  1.8318352E-03  3.4500828E-06  2.342E-05  5.458E-06  7.288E-06  9.983E-01  1.003E+00  8.96E+02  0.00E+00  6.48E+01  0.108347  0.434395  0.0000000E+00  1.2553415881E+00
 27  0.126328277345665E+07  105.622967  6.281930  4.719352  0.5651803E+00  0.4211148E+00  1.2756394E-04  2.2382897E-05  7.8580988E-03  3.8716549E-04  4.5998996E-07  2.7445901E-07  1.8429636E-03  7.0313949E-06  1.922E-05  0.8487  4.719352   -4.860  0.251597  7.661131  0.4999038E+00  0.4864138E+00  8.3841151E-05  2.3060562E-05  8.1263329E-03  1.3861751E-04  2.0573453E-07  4.1495875E-10  1.8302157E-03  3.4736365E-06  2.277E-05  5.314E-06  7.042E-06  9.983E-01  1.003E+00  8.94E+02  0.00E+00  6.35E+01  0.106299  0.435978  0.0000000E+00  1.1976409913E+00
 28  0.130592368973692E+07  105.030187  6.284009  4.720285  0.5550816E+00  0.4312182E+00  1.1778502E-04  2.2468522E-05  7.9145733E-03  3.3567009E-04  4.0947942E-07  2.1462060E-07  1.8409848E-03  6.2449380E-06  1.903E-05  0.8497  4.720285   -4.854  0.254121  7.661869  0.4915655E+00  0.4947523E+00  8.3513702E-05  2.2982182E-05  8.1303007E-03  1.3462031E-04  2.0091130E-07  3.9717455E-10  1.8285978E-03  3.5020882E-06  2.213E-05  4.943E-06  6.811E-06  9.986E-01  1.003E+00  8.92E+02  0.00E+00  5.86E+01  0.098299  0.437693  0.0000000E+00  1.1425236292E+00
 29  0.134809423628937E+07  104.435770  6.286017  4.721099  0.5451362E+00  0.4411674E+00  1.1002584E-04  2.2553370E-05  7.9607894E-03  2.9318572E-04  3.6691080E-07  1.6677459E-07  1.8390404E-03  5.6201096E-06  1.880E-05  0.8505  4.721099   -4.848  0.256440  7.662534  0.4832232E+00  0.5030949E+00  8.3853141E-05  2.3081512E-05  8.1327880E-03  1.3120872E-04  1.9462986E-07  3.8290896E-10  1.8269775E-03  3.5337389E-06  2.149E-05  4.790E-06  6.584E-06  9.986E-01  1.002E+00  8.91E+02  0.00E+00  5.73E+01  0.096451  0.439402  0.0000000E+00  1.0900253647E+00
 30  0.138988198197773E+07  103.838305  6.287991  4.721876  0.5356160E+00  0.4506907E+00  1.0412569E-04  2.2635746E-05  7.9972020E-03  2.5941002E-04  3.3229376E-07  1.3000466E-07  1.8371823E-03  5.1450035E-06  1.850E-05  0.8512  4.721876   -4.842  0.258988  7.663271  0.4748635E+00  0.5114547E+00  8.4045476E-05  2.3116908E-05  8.1350845E-03  1.2828854E-04  1.9018869E-07  3.7349464E-10  1.8253522E-03  3.5681131E-06  2.086E-05  4.476E-06  6.370E-06  9.988E-01  1.002E+00  8.89E+02  0.00E+00  5.29E+01  0.089154  0.441202  0.0000000E+00  1.0399173746E+00
 31  0.143154476835632E+07  103.233799  6.290112  4.722507  0.5262559E+00  0.4600532E+00  9.9560618E-05  2.2718741E-05  8.0265348E-03  2.3193047E-04  3.0345541E-07  1.0113672E-07  1.8353576E-03  4.7780946E-06  1.817E-05  0.8527  4.722507   -4.835  0.261436  7.663968  0.4665358E+00  0.5197824E+00  8.4354886E-05  2.3204681E-05  8.1367313E-03  1.2589013E-04  1.8573363E-07  3.6685852E-10  1.8237311E-03  3.6056917E-06  2.024E-05  4.328E-06  6.160E-06  9.989E-01  1.002E+00  8.86E+02  0.00E+00  5.15E+01  0.087061  0.443246  0.0000000E+00  9.9191371988E-01
 32  0.147386101745648E+07  102.609459  6.292583  4.723156  0.5170249E+00  0.4692862E+00  9.6077676E-05  2.2802734E-05  8.0500019E-03  2.0969879E-04  2.7952704E-07  7.8662901E-08  1.8335596E-03  4.4996134E-06  1.779E-05  0.8558  4.723156   -4.827  0.264000  7.664697  0.4581876E+00  0.5281308E+00  8.4823571E-05  2.3325413E-05  8.1377579E-03  1.2394744E-04  1.8157401E-07  3.6282273E-10  1.8221035E-03  3.6478246E-06  1.960E-05  4.039E-06  5.954E-06  9.990E-01  1.002E+00  8.83E+02  0.00E+00  4.76E+01  0.080823  0.445769  0.0000000E+00  9.4498126901E-01
 33  0.151557836055247E+07  101.983483  6.294945  4.724062  0.5072936E+00  0.4790192E+00  9.3323467E-05  2.2887351E-05  8.0695903E-03  1.9091980E-04  2.5880551E-07  6.0499070E-08  1.8316649E-03  4.2838792E-06  1.741E-05  0.8582  4.724062   -4.820  0.266746  7.665482  0.4498100E+00  0.5365082E+00  8.4557242E-05  2.3275680E-05  8.1396794E-03  1.2216955E-04  1.7940754E-07  3.4746821E-10  1.8204680E-03  3.6912068E-06  1.899E-05  3.890E-06  5.754E-06  9.991E-01  1.001E+00  8.81E+02  0.00E+00  4.64E+01  0.078916  0.448065  0.0000000E+00  9.0035335084E-01
 34  0.155623606455864E+07  101.364270  6.297057  4.725213  0.4969966E+00  0.4893175E+00  9.1160189E-05  2.2971189E-05  8.0859235E-03  1.7506752E-04  2.4089116E-07  4.5858116E-08  1.8296601E-03  4.1212013E-06  1.704E-05  0.8599  4.725213   -4.814  0.269205  7.666170  0.4414755E+00  0.5448428E+00  8.5507259E-05  2.3516332E-05  8.1397200E-03  1.2056523E-04  1.7450605E-07  3.4315634E-10  1.8188386E-03  3.7353217E-06  1.840E-05  3.670E-06  5.565E-06  9.992E-01  1.001E+00  8.80E+02  0.00E+00  4.31E+01  0.073459  0.449897  0.0000000E+00  8.5847257763E-01
 35  0.159624497002916E+07  100.746629  6.299038  4.726371  0.4865318E+00  0.4997834E+00  8.9522781E-05  2.3056695E-05  8.0992142E-03  1.6198323E-04  2.2571059E-07  3.4298097E-08  1.8276219E-03  4.0043080E-06  1.667E-05  0.8610  4.726371   -4.809  0.271985  7.666960  0.4331247E+00  0.5531935E+00  8.5394616E-05  2.3489235E-05  8.1411268E-03  1.1914251E-04  1.7292117E-07  3.3772376E-10  1.8172038E-03  3.7800460E-06  1.784E-05  3.533E-06  5.386E-06  9.992E-01  1.001E+00  8.79E+02  0.00E+00  4.17E+01  0.071212  0.451553  0.0000000E+00  8.1892707080E-01
 36  0.163587963212916E+07  100.126284  6.301050  4.727226  0.4764384E+00  0.5098775E+00  8.8359534E-05  2.3140636E-05  8.1095371E-03  1.5165461E-04  2.1338474E-07  2.5583695E-08  1.8256549E-03  3.9275665E-06  1.628E-05  0.8623  4.727226   -4.802  0.274671  7.667712  0.4247763E+00  0.5615418E+00  8.5724978E-05  2.3578425E-05  8.1417233E-03  1.1791323E-04  1.7021896E-07  3.3368698E-10  1.8155672E-03  3.8264685E-06  1.728E-05  3.354E-06  5.215E-06  9.993E-01  1.001E+00  8.77E+02  0.00E+00  3.95E+01  0.067587  0.453362  0.0000000E+00  7.8136425894E-01
 37  0.167516958179344E+07   99.502304  6.303016  4.728046  0.4666275E+00  0.5196890E+00  8.7563130E-05  2.3224310E-05  8.1175298E-03  1.4349570E-04  2.0332896E-07  1.9050320E-08  1.8237413E-03  3.8819518E-06  1.587E-05  0.8633  4.728046   -4.796  0.277400  7.668475  0.4164159E+00  0.5699021E+00  8.5765927E-05  2.3609668E-05  8.1425766E-03  1.1684659E-04  1.6834787E-07  3.2836715E-10  1.8139258E-03  3.8751583E-06  1.674E-05  3.181E-06  5.050E-06  9.994E-01  1.001E+00  8.74E+02  0.00E+00  3.76E+01  0.064426  0.455230  0.0000000E+00  7.4561611266E-01
 38  0.171384459237190E+07   98.879040  6.304938  4.728770  0.4568815E+00  0.5294355E+00  8.7028612E-05  2.3307030E-05  8.1238199E-03  1.3693125E-04  1.9497156E-07  1.4091172E-08  1.8218386E-03  3.8599129E-06  1.547E-05  0.8644  4.728770   -4.790  0.280198  7.669254  0.4080831E+00  0.5782349E+00  8.6256705E-05  2.3724362E-05  8.1427002E-03  1.1591233E-04  1.6598717E-07  3.2656192E-10  1.8122874E-03  3.9251598E-06  1.622E-05  3.001E-06  4.894E-06  9.995E-01  1.001E+00  8.72E+02  0.00E+00  3.53E+01  0.060679  0.457074  0.0000000E+00  7.1191002176E-01
 39  0.175218380585605E+07   98.251848  6.306818  4.729465  0.4474357E+00  0.5388816E+00  8.6713923E-05  2.3388951E-05  8.1286040E-03  1.3179300E-04  1.8817124E-07  1.0451848E-08  1.8199923E-03  3.8567798E-06  1.507E-05  0.8652  4.729465   -4.783  0.283023  7.670055  0.3997200E+00  0.5865978E+00  8.6195927E-05  2.3726814E-05  8.1434947E-03  1.1508335E-04  1.6477665E-07  3.2235845E-10  1.8106404E-03  3.9771076E-06  1.572E-05  2.836E-06  4.744E-06  9.995E-01  1.001E+00  8.70E+02  0.00E+00  3.35E+01  0.057682  0.458992  0.0000000E+00  6.7993637038E-01
