line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

  1  0.454487433101944E+05   31.989944  5.117609  4.616375  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.5821  4.616375   -6.669  0.580969  7.599984  0.7169959E+00  0.2687201E+00  5.3624051E-05  1.3710412E-05  3.9219925E-03  4.9853653E-03  1.0862515E-05  1.0892054E-07  1.8760278E-03  6.6979975E-05  3.362E-06  3.194E-05  2.990E-05  9.857E-01  1.017E+00  7.62E+02  0.00E+00  1.58E+02  0.306473  0.108356  0.0000000E+00  3.9255509589E-01
  2  0.158985187142320E+06   31.964758  5.126137  4.616105  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.5714  4.616105   -6.650  0.578534  7.599627  0.7086241E+00  0.2772617E+00  4.1037971E-05  1.1127937E-05  5.1619045E-03  3.5894501E-03  9.6760854E-06  1.7024587E-08  1.8740127E-03  1.0817929E-05  1.006E-05  2.704E-05  3.058E-05  9.893E-01  1.012E+00  7.57E+02  0.00E+00  1.36E+02  0.266325  0.110591  0.0000000E+00  3.9023228381E-01
  3  0.265454871421782E+06   31.940725  5.130274  4.614064  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.5683  4.614064   -6.643  0.570060  7.597381  0.7002952E+00  0.2856975E+00  4.5622938E-05  1.2471830E-05  5.9019735E-03  2.7379632E-03  7.4632045E-06  9.1948980E-09  1.8723822E-03  2.3709317E-06  1.415E-05  2.570E-05  3.019E-05  9.899E-01  1.012E+00  7.51E+02  0.00E+00  1.31E+02  0.258763  0.111734  0.0000000E+00  3.8814076514E-01
  4  0.373635675627165E+06   31.915829  5.134643  4.612484  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.5655  4.612484   -6.634  0.564498  7.596107  0.6919167E+00  0.2941499E+00  4.9653806E-05  1.3573411E-05  6.4096467E-03  2.1525149E-03  5.8787662E-06  8.5098296E-09  1.8709201E-03  1.0186876E-06  1.681E-05  2.487E-05  2.976E-05  9.902E-01  1.012E+00  7.46E+02  0.00E+00  1.28E+02  0.254395  0.112952  0.0000000E+00  3.8599892868E-01
  5  0.483147350886040E+06   31.890082  5.139250  4.611277  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707437E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.5632  4.611277   -6.624  0.561006  7.595527  0.6835349E+00  0.3025846E+00  5.2270701E-05  1.4293794E-05  6.7741219E-03  1.7326548E-03  4.7454983E-06  6.6996554E-09  1.8695625E-03  8.6962234E-07  1.851E-05  2.450E-05  2.938E-05  9.901E-01  1.011E+00  7.42E+02  0.00E+00  1.28E+02  0.255777  0.114249  0.0000000E+00  3.8378426239E-01
  6  0.591208167559728E+06   31.864101  5.143844  4.610243  0.7200000E+00  0.2659559E+00  2.2831524E-03  2.7707442E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  1.151E-17  0.5609  4.610243   -6.614  0.558578  7.595297  0.6752914E+00  0.3108669E+00  5.4480333E-05  1.4894948E-05  7.0404608E-03  1.4253786E-03  3.8906622E-06  6.6571060E-09  1.8682919E-03  8.9746789E-07  1.956E-05  2.409E-05  2.902E-05  9.901E-01  1.011E+00  7.38E+02  0.00E+00  1.27E+02  0.255544  0.115558  0.0000000E+00  3.8154282113E-01
  7  0.699680967155740E+06   31.837415  5.148551  4.609314  0.7200000E+00  0.2659559E+00  2.2831524E-03  2.7707482E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  5.762E-16  0.5586  4.609314   -6.604  0.556911  7.595320  0.6669280E+00  0.3192605E+00  5.6103549E-05  1.5341362E-05  7.2489876E-03  1.1849688E-03  3.2262796E-06  5.7111513E-09  1.8670445E-03  8.6867711E-07  2.019E-05  2.373E-05  2.870E-05  9.901E-01  1.011E+00  7.34E+02  0.00E+00  1.26E+02  0.255414  0.116915  0.0000000E+00  3.7923273408E-01
  8  0.806886405980961E+06   31.810417  5.153288  4.608459  0.7200000E+00  0.2659559E+00  2.2831522E-03  2.7707687E-05  6.5875806E-04  5.7184752E-03  2.2656014E-06  1.2899740E-05  1.8768898E-03  1.5180834E-04  1.148E-14  0.5567  4.608459   -6.594  0.555761  7.595510  0.6586392E+00  0.3275726E+00  5.7399985E-05  1.5697379E-05  7.4090327E-03  1.0003720E-03  2.7130751E-06  5.0554401E-09  1.8658383E-03  8.7299145E-07  2.049E-05  2.339E-05  2.840E-05  9.901E-01  1.011E+00  7.30E+02  0.00E+00  1.26E+02  0.255407  0.118297  0.0000000E+00  3.7688643929E-01
