line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

  1  0.270104304552024E+05   59.951902  5.700018  4.684851  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.7184  4.684851   -5.756  0.415961  7.635230  0.7169948E+00  0.2687285E+00  4.3285647E-05  1.0855037E-05  3.9924059E-03  4.9247677E-03  8.2098061E-06  4.0998614E-08  1.8758088E-03  8.5118783E-05  3.850E-06  2.474E-05  2.307E-05  9.867E-01  1.018E+00  8.73E+02  0.00E+00  1.75E+02  0.295849  0.221040  0.0000000E+00  1.1501095211E+00
  2  0.954080332935190E+05   59.831102  5.702632  4.681411  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.7142  4.681411   -5.749  0.397959  7.629537  0.7085817E+00  0.2773237E+00  4.6940622E-05  1.2783482E-05  5.2798111E-03  3.4473421E-03  6.9744081E-06  1.2863045E-08  1.8733091E-03  2.1979949E-05  1.173E-05  2.027E-05  2.275E-05  9.903E-01  1.012E+00  8.63E+02  0.00E+00  1.47E+02  0.253066  0.222824  0.0000000E+00  1.1329761812E+00
  3  0.163984757543181E+06   59.707477  5.705426  4.678776  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.7108  4.678776   -5.739  0.388795  7.626778  0.7001768E+00  0.2858373E+00  5.3658617E-05  1.4617385E-05  6.0288556E-03  2.5817264E-03  5.2000486E-06  1.0764978E-08  1.8713208E-03  7.9441086E-06  1.669E-05  1.940E-05  2.214E-05  9.908E-01  1.012E+00  8.56E+02  0.00E+00  1.42E+02  0.246500  0.224726  0.0000000E+00  1.1162287702E+00
  4  0.233562880920992E+06   59.579377  5.708430  4.676946  0.7200000E+00  0.2659559E+00  2.2831524E-03  2.7707446E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  2.639E-15  0.7076  4.676946   -5.730  0.383967  7.625460  0.6917129E+00  0.2943745E+00  5.7509446E-05  1.5664223E-05  6.5349280E-03  1.9979602E-03  4.0956304E-06  9.2731492E-09  1.8695398E-03  4.0445972E-06  2.012E-05  1.878E-05  2.166E-05  9.910E-01  1.012E+00  8.49E+02  0.00E+00  1.39E+02  0.243600  0.226772  0.0000000E+00  1.0989227919E+00
  5  0.302386939235004E+06   59.450015  5.711452  4.675325  0.7200000E+00  0.2659559E+00  2.2831517E-03  2.7707642E-05  6.5875897E-04  5.7184749E-03  2.2656030E-06  1.2899737E-05  1.8768898E-03  1.5180832E-04  9.014E-13  0.7050  4.675325   -5.722  0.380740  7.624690  0.6833613E+00  0.3027777E+00  6.1000517E-05  1.6661936E-05  6.8889880E-03  1.5882785E-03  3.1924467E-06  7.0327962E-09  1.8679044E-03  2.8447462E-06  2.251E-05  1.860E-05  2.123E-05  9.908E-01  1.012E+00  8.44E+02  0.00E+00  1.40E+02  0.246730  0.228853  0.0000000E+00  1.0815005020E+00
  6  0.371552556385463E+06   59.317300  5.714620  4.674055  0.7200000E+00  0.2659559E+00  2.2831335E-03  2.7709204E-05  6.5878463E-04  5.7184682E-03  2.2656497E-06  1.2899639E-05  1.8768898E-03  1.5180777E-04  2.496E-11  0.7025  4.674055   -5.713  0.379171  7.624449  0.6749629E+00  0.3112141E+00  6.2852331E-05  1.7160455E-05  7.1526552E-03  1.2843962E-03  2.6159896E-06  6.3506463E-09  1.8663367E-03  2.4226444E-06  2.420E-05  1.789E-05  2.085E-05  9.913E-01  1.012E+00  8.39E+02  0.00E+00  1.35E+02  0.240010  0.231044  0.0000000E+00  1.0636847777E+00
  7  0.440183111652882E+06   59.182867  5.717801  4.672796  0.7199998E+00  0.2659561E+00  2.2830083E-03  2.7714757E-05  6.5897179E-04  5.7184157E-03  2.2659827E-06  1.2898940E-05  1.8768897E-03  1.5180366E-04  1.997E-10  0.7002  4.672796   -5.704  0.378025  7.624345  0.6665969E+00  0.3196089E+00  6.4807803E-05  1.7718275E-05  7.3500800E-03  1.0559352E-03  2.1196372E-06  5.2851010E-09  1.8648264E-03  2.2532460E-06  2.535E-05  1.770E-05  2.049E-05  9.911E-01  1.011E+00  8.34E+02  0.00E+00  1.36E+02  0.242507  0.233271  0.0000000E+00  1.0457224697E+00
  8  0.509630975308998E+06   59.043961  5.721095  4.671691  0.7199987E+00  0.2659571E+00  2.2824791E-03  2.7728460E-05  6.5980158E-04  5.7181602E-03  2.2673876E-06  1.2895953E-05  1.8768894E-03  1.5178471E-04  1.009E-09  0.6982  4.671691   -5.694  0.377728  7.624525  0.6581189E+00  0.3281090E+00  6.5935253E-05  1.8025308E-05  7.5036942E-03  8.7881279E-04  1.7765798E-06  4.6980811E-09  1.8633327E-03  2.1941491E-06  2.611E-05  1.707E-05  2.015E-05  9.916E-01  1.011E+00  8.29E+02  0.00E+00  1.32E+02  0.235987  0.235600  0.0000000E+00  1.0272130630E+00
